activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
13720,153,official,20200101,anonymous,H,1,1,0
13944,93,official,20200101,anonymous,A,2,1,0
13945,86,official,20200101,anonymous,H,2,1,0
13971,69,official,20200101,anonymous,A,2,1,0
13952,91,official,20200101,anonymous,H,1,1,0
13941,92,official,20200101,anonymous,H,1,1,0
13942,153,official,20200101,anonymous,A,2,1,0
14007,127,official,20200101,anonymous,A,2,1,0
13937,8,official,20200101,anonymous,H,1,1,0
13962,165,official,20200101,anonymous,H,2,1,0
14002,136,official,20200101,anonymous,H,1,1,0
13963,175,official,20200101,anonymous,A,1,1,0
13964,11,official,20200101,anonymous,A,1,1,0
13961,174,official,20200101,anonymous,H,1,1,0
14012,123,official,20200101,anonymous,A,2,1,0
14078,92,official,20200101,anonymous,A,2,1,0
14039,153,official,20200101,anonymous,H,2,1,0
14048,8,official,20200101,anonymous,A,2,1,0
14088,11,official,20200101,anonymous,A,2,1,0
14082,86,official,20200101,anonymous,H,1,1,0
14089,174,official,20200101,anonymous,H,1,1,0
14090,69,official,20200101,anonymous,A,2,1,0
14197,175,official,20200101,anonymous,H,1,1,0
14201,93,official,20200101,anonymous,H,2,1,0
14256,11,official,20200101,anonymous,H,1,1,0
14296,86,official,20200101,anonymous,A,2,1,0
14257,91,official,20200101,anonymous,A,2,1,0
14194,153,official,20200101,anonymous,H,1,1,0
14212,8,official,20200101,anonymous,A,2,1,0
14258,165,official,20200101,anonymous,A,2,1,0
14293,136,official,20200101,anonymous,A,2,1,0
14247,174,official,20200101,anonymous,A,1,1,0
14307,69,official,20200101,anonymous,H,0,1,0
14274,92,official,20200101,anonymous,H,2,1,0
14249,127,official,20200101,anonymous,H,1,1,0
14303,123,official,20200101,anonymous,A,2,1,0
14498,174,official,20200101,anonymous,H,1,1,0
14538,123,official,20200101,anonymous,H,1,1,0
14524,165,official,20200101,anonymous,A,1,1,0
14518,175,official,20200101,anonymous,A,2,1,0
14534,93,official,20200101,anonymous,H,2,1,0
14537,11,official,20200101,anonymous,H,1,1,0
14519,69,official,20200101,anonymous,A,2,1,0
14522,153,official,20200101,anonymous,A,1,1,0
14658,136,official,20200101,anonymous,H,1,1,0
14579,86,official,20200101,anonymous,A,1,1,0
14561,91,official,20200101,anonymous,H,1,1,0
14643,92,official,20200101,anonymous,A,2,1,0
14595,127,official,20200101,anonymous,A,2,1,0
14572,8,official,20200101,anonymous,H,1,1,0
14904,123,official,20200101,anonymous,A,2,1,0
14901,11,official,20200101,anonymous,A,2,1,0
14853,69,official,20200101,anonymous,A,1,1,0
14859,127,official,20200101,anonymous,A,2,1,0
14856,8,official,20200101,anonymous,H,2,1,0
14889,165,official,20200101,anonymous,H,2,1,0
14885,175,official,20200101,anonymous,H,1,1,0
14890,86,official,20200101,anonymous,H,1,1,0
14899,174,official,20200101,anonymous,H,1,1,0
14972,91,official,20200101,anonymous,A,1,1,0
14929,92,official,20200101,anonymous,A,2,1,0
14888,153,official,20200101,anonymous,H,1,1,0
14930,136,official,20200101,anonymous,H,1,1,0
14933,93,official,20200101,anonymous,A,2,1,0
15193,11,official,20200101,anonymous,A,1,1,0
15216,175,official,20200101,anonymous,A,1,1,0
15220,86,official,20200101,anonymous,A,2,1,0
15213,69,official,20200101,anonymous,H,1,1,0
15215,92,official,20200101,anonymous,H,1,1,0
15218,153,official,20200101,anonymous,A,2,1,0
15217,127,official,20200101,anonymous,H,2,1,0
15278,123,official,20200101,anonymous,H,1,1,0
15243,165,official,20200101,anonymous,H,2,1,0
15262,93,official,20200101,anonymous,A,2,1,0
15247,174,official,20200101,anonymous,A,1,1,0
15249,8,official,20200101,anonymous,A,1,1,0
15601,136,official,20200101,anonymous,A,2,1,0
15609,11,official,20200101,anonymous,H,2,1,0
15552,86,official,20200101,anonymous,H,1,1,0
15545,174,official,20200101,anonymous,A,1,1,0
15622,91,official,20200101,anonymous,A,2,1,0
15580,165,official,20200101,anonymous,A,2,1,0
15569,175,official,20200101,anonymous,H,1,1,0
15571,93,official,20200101,anonymous,H,1,1,0
15652,92,official,20200101,anonymous,A,1,1,0
15576,153,official,20200101,anonymous,A,1,1,0
15581,127,official,20200101,anonymous,A,2,1,0
15584,8,official,20200101,anonymous,H,1,1,0
15626,123,official,20200101,anonymous,H,1,1,0
15860,123,official,20200101,anonymous,A,2,1,0
15849,165,official,20200101,anonymous,H,2,1,0
15884,136,official,20200101,anonymous,H,1,1,0
15850,175,official,20200101,anonymous,A,2,1,0
15856,86,official,20200101,anonymous,H,1,1,0
15868,174,official,20200101,anonymous,H,1,1,0
15851,153,official,20200101,anonymous,H,1,1,0
15855,127,official,20200101,anonymous,A,1,1,0
15865,8,official,20200101,anonymous,A,2,1,0
15938,93,official,20200101,anonymous,H,1,1,0
15889,11,official,20200101,anonymous,A,2,1,0
