activity_id,player_period,form_period,role_period,session,start_dt,end_dt,duration,player_id,squad_num,player_name,base_role,x,y,formation,aligned_role
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1760,14,P14,3,1161.0,-441.0,4231,CAM
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1237,19,P19,1,-86.0,-545.0,4231,RDM
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,763,1766,20,P20,6,-1177.0,-593.0,4231,RCB
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1232,22,P22,7,675.0,-1521.0,4231,RM
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1235,23,P23,8,-833.0,-1456.0,4231,RB
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1227,33,P33,9,-655.0,1469.0,4231,LB
1952,3,2,4,2,2020-01-01 15:26:00,2020-01-01 15:39:00,780,1925,38,P38,10,-1155.0,603.0,4231,LCB
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,3298,6,P06,5,-275.0,441.0,4231,LDM
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1248,7,P07,4,798.0,1584.0,4231,LM
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1252,9,P09,2,1547.0,461.0,4231,CF
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1760,14,P14,7,675.0,-1521.0,4231,RM
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1237,19,P19,1,-86.0,-545.0,4231,RDM
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1766,20,P20,6,-1177.0,-593.0,4231,RCB
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1235,23,P23,8,-833.0,-1456.0,4231,RB
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1767,24,P24,3,1161.0,-441.0,4231,CAM
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1227,33,P33,9,-655.0,1469.0,4231,LB
1952,4,2,5,2,2020-01-01 15:39:00,2020-01-01 15:51:00,720,1925,38,P38,10,-1155.0,603.0,4231,LCB
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1278,2,P02,1,-1067.0,1118.0,others,LCB
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2800,1279,3,P03,2,-837.0,-2220.0,others,RB
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1898,9,P09,3,405.0,1515.0,others,LM
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1285,10,P10,4,1467.0,506.0,others,LCF
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1287,13,P13,5,291.0,-625.0,others,RCM
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1308,23,P23,6,-144.0,-2197.0,others,RWB
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1297,24,P24,7,-294.0,161.0,others,CDM
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1895,27,P27,8,-43.0,2109.0,others,LWB
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1309,40,P40,9,-1383.0,170.0,others,CB
1958,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:47:00,2820,1312,50,P50,10,1604.0,-537.0,others,RCF
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1278,2,P02,1,-1017.0,1047.0,352,LCB
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1064,1279,3,P03,5,-1059.0,-774.0,352,RCM
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1898,9,P09,3,451.0,962.0,352,LCM
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1285,10,P10,10,1499.0,-432.0,352,RCF
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1287,13,P13,6,329.0,-1600.0,352,RWB
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1308,23,P23,2,-327.0,-1934.0,352,RCB
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1297,24,P24,7,-59.0,69.0,352,CDM
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1895,27,P27,8,-299.0,2020.0,352,LWB
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1309,40,P40,9,-1140.0,-86.0,352,CB
1958,2,2,2,2,2020-01-01 17:03:00,2020-01-01 17:21:00,1080,1312,50,P50,4,1623.0,728.0,352,LCF
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1278,2,P02,1,-1017.0,1047.0,352,LCB
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1279,3,P03,5,-1059.0,-774.0,352,RCM
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1898,9,P09,3,451.0,962.0,352,LCM
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1285,10,P10,4,1623.0,728.0,352,LCF
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1287,13,P13,6,329.0,-1600.0,352,RWB
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1305,18,P18,10,1499.0,-432.0,352,RCF
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1308,23,P23,2,-327.0,-1934.0,352,RCB
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1297,24,P24,7,-59.0,69.0,352,CDM
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1895,27,P27,8,-299.0,2020.0,352,LWB
1958,3,2,3,2,2020-01-01 17:21:00,2020-01-01 17:35:00,840,1309,40,P40,9,-1140.0,-86.0,352,CB
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1278,2,P02,1,-1017.0,1047.0,352,LCB
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1279,3,P03,5,-1059.0,-774.0,352,RCM
1958,4,2,4,2,2020-01-01 17:35:00,2020-01-01 17:49:00,840,1898,9,P09,3,451.0,962.0,352,LCM
