activity_id,date,team_name,player_id,squad_num,player_name
3521,20200101,anonymous,3600,11,P11
3521,20200101,anonymous,3605,17,P17
3521,20200101,anonymous,3606,18,P18
3521,20200101,anonymous,3610,22,P22
3521,20200101,anonymous,3611,23,P23
3521,20200101,anonymous,3612,24,P24
3521,20200101,anonymous,3618,30,P30
3521,20200101,anonymous,3620,32,P32
3521,20200101,anonymous,3622,44,P44
3803,20200101,anonymous,3593,4,P04
3803,20200101,anonymous,3594,5,P05
3803,20200101,anonymous,3595,6,P06
3803,20200101,anonymous,3598,9,P09
3803,20200101,anonymous,3599,10,P10
3803,20200101,anonymous,3600,11,P11
3803,20200101,anonymous,4649,14,P14
3803,20200101,anonymous,3605,17,P17
3803,20200101,anonymous,3606,18,P18
3803,20200101,anonymous,3610,22,P22
3803,20200101,anonymous,3618,30,P30
3803,20200101,anonymous,3620,32,P32
3803,20200101,anonymous,3622,44,P44
4135,20200101,anonymous,3593,4,P04
4135,20200101,anonymous,3594,5,P05
4135,20200101,anonymous,3595,6,P06
4135,20200101,anonymous,3598,9,P09
4135,20200101,anonymous,4649,14,P14
4135,20200101,anonymous,3605,17,P17
4135,20200101,anonymous,3606,18,P18
4135,20200101,anonymous,3610,22,P22
4135,20200101,anonymous,3611,23,P23
4135,20200101,anonymous,3612,24,P24
4135,20200101,anonymous,3618,30,P30
4135,20200101,anonymous,3620,32,P32
4436,20200101,anonymous,3593,4,P04
4436,20200101,anonymous,3594,5,P05
4436,20200101,anonymous,3595,6,P06
4436,20200101,anonymous,3598,9,P09
4436,20200101,anonymous,4649,14,P14
4436,20200101,anonymous,3604,16,P16
4436,20200101,anonymous,3605,17,P17
4436,20200101,anonymous,3606,18,P18
4436,20200101,anonymous,3608,20,P20
4436,20200101,anonymous,3610,22,P22
4436,20200101,anonymous,3612,24,P24
4436,20200101,anonymous,3618,30,P30
4436,20200101,anonymous,3620,32,P32
4962,20200101,anonymous,3592,3,P03
4962,20200101,anonymous,3593,4,P04
4962,20200101,anonymous,3594,5,P05
4962,20200101,anonymous,3595,6,P06
4962,20200101,anonymous,3598,9,P09
4962,20200101,anonymous,3601,13,P13
4962,20200101,anonymous,3606,18,P18
4962,20200101,anonymous,3608,20,P20
4962,20200101,anonymous,3610,22,P22
4962,20200101,anonymous,3620,32,P32
4962,20200101,anonymous,4266,42,P42
4962,20200101,anonymous,4265,77,P77
5243,20200101,anonymous,3592,3,P03
5243,20200101,anonymous,3593,4,P04
5243,20200101,anonymous,3594,5,P05
5243,20200101,anonymous,3595,6,P06
5243,20200101,anonymous,3598,9,P09
5243,20200101,anonymous,3601,13,P13
5243,20200101,anonymous,3606,18,P18
5243,20200101,anonymous,3608,20,P20
5243,20200101,anonymous,3610,22,P22
5243,20200101,anonymous,3618,30,P30
5243,20200101,anonymous,3620,32,P32
5243,20200101,anonymous,4266,42,P42
5243,20200101,anonymous,4265,77,P77
5441,20200101,anonymous,3592,3,P03
5441,20200101,anonymous,3593,4,P04
5441,20200101,anonymous,3594,5,P05
5441,20200101,anonymous,3595,6,P06
5441,20200101,anonymous,3596,7,P07
5441,20200101,anonymous,3598,9,P09
5441,20200101,anonymous,3601,13,P13
5441,20200101,anonymous,3605,17,P17
5441,20200101,anonymous,3606,18,P18
5441,20200101,anonymous,3608,20,P20
5441,20200101,anonymous,3620,32,P32
5441,20200101,anonymous,4266,42,P42
5780,20200101,anonymous,3592,3,P03
5780,20200101,anonymous,3593,4,P04
5780,20200101,anonymous,3594,5,P05
5780,20200101,anonymous,3595,6,P06
5780,20200101,anonymous,3596,7,P07
5780,20200101,anonymous,3598,9,P09
5780,20200101,anonymous,3605,17,P17
5780,20200101,anonymous,3606,18,P18
5780,20200101,anonymous,3607,19,P19
5780,20200101,anonymous,3610,22,P22
5780,20200101,anonymous,3618,30,P30
5780,20200101,anonymous,4266,42,P42
5780,20200101,anonymous,4265,77,P77
6145,20200101,anonymous,3592,3,P03
6145,20200101,anonymous,3593,4,P04
6145,20200101,anonymous,3594,5,P05
6145,20200101,anonymous,3595,6,P06
6145,20200101,anonymous,3596,7,P07
6145,20200101,anonymous,3605,17,P17
6145,20200101,anonymous,3606,18,P18
6145,20200101,anonymous,3607,19,P19
6145,20200101,anonymous,3608,20,P20
6145,20200101,anonymous,3618,30,P30
6145,20200101,anonymous,3620,32,P32
6145,20200101,anonymous,4266,42,P42
6145,20200101,anonymous,3349,77,P77
6458,20200101,anonymous,3592,3,P03
6458,20200101,anonymous,3593,4,P04
6458,20200101,anonymous,3594,5,P05
6458,20200101,anonymous,3595,6,P06
6458,20200101,anonymous,3598,9,P09
6458,20200101,anonymous,3605,17,P17
6458,20200101,anonymous,3607,19,P19
6458,20200101,anonymous,3608,20,P20
6458,20200101,anonymous,3610,22,P22
6458,20200101,anonymous,3618,30,P30
6458,20200101,anonymous,3620,32,P32
6458,20200101,anonymous,4266,42,P42
6747,20200101,anonymous,3592,3,P03
6747,20200101,anonymous,3593,4,P04
6747,20200101,anonymous,3594,5,P05
6747,20200101,anonymous,3595,6,P06
6747,20200101,anonymous,3596,7,P07
6747,20200101,anonymous,3598,9,P09
6747,20200101,anonymous,4382,10,P10
6747,20200101,anonymous,3605,17,P17
6747,20200101,anonymous,3606,18,P18
6747,20200101,anonymous,3610,22,P22
6747,20200101,anonymous,3618,30,P30
6747,20200101,anonymous,4266,42,P42
6859,20200101,anonymous,3592,3,P03
6859,20200101,anonymous,3593,4,P04
6859,20200101,anonymous,3594,5,P05
6859,20200101,anonymous,3595,6,P06
6859,20200101,anonymous,3596,7,P07
6859,20200101,anonymous,3598,9,P09
6859,20200101,anonymous,4382,10,P10
6859,20200101,anonymous,3605,17,P17
6859,20200101,anonymous,3606,18,P18
6859,20200101,anonymous,3607,19,P19
6859,20200101,anonymous,3610,22,P22
6859,20200101,anonymous,3349,77,P77
7098,20200101,anonymous,3592,3,P03
7098,20200101,anonymous,3593,4,P04
7098,20200101,anonymous,3594,5,P05
7098,20200101,anonymous,3595,6,P06
7098,20200101,anonymous,3598,9,P09
7098,20200101,anonymous,4382,10,P10
7098,20200101,anonymous,3605,17,P17
7098,20200101,anonymous,3606,18,P18
7098,20200101,anonymous,3610,22,P22
7098,20200101,anonymous,3620,32,P32
7098,20200101,anonymous,3622,44,P44
7098,20200101,anonymous,3349,77,P77
7414,20200101,anonymous,3592,3,P03
7414,20200101,anonymous,3593,4,P04
7414,20200101,anonymous,3594,5,P05
7414,20200101,anonymous,3595,6,P06
7414,20200101,anonymous,3596,7,P07
7414,20200101,anonymous,3598,9,P09
7414,20200101,anonymous,4382,10,P10
7414,20200101,anonymous,3605,17,P17
7414,20200101,anonymous,3606,18,P18
7414,20200101,anonymous,3607,19,P19
7414,20200101,anonymous,3610,22,P22
7414,20200101,anonymous,3620,32,P32
